Destino,Und Negocio,Desripcion,Marca,Existencia,Minima,Costo,Precio Lista,Dscto  Corp,Dscto VIP
PC,Hair Salon,MAJIREL 9.22,LOREAL,6,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL ABSOLUT 6.1,LOREAL,0,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL ABSOLUT 6.1,LOREAL,8.75,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL BLUSH BLOND B14 9.21 50ML 511,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL BLUSH BLOND B14 9.21 50ML 511,LOREAL,3,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 4,LOREAL,1.25,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 5,LOREAL,1,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 5.3,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 6,LOREAL,0.25,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 6.1,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 6.3,LOREAL,6,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 6.8,LOREAL,1.5,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 7.3,LOREAL,0.5,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 8.8,LOREAL,1.5,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 9,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER 9.1,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER BRONZE 7.17,LOREAL,4,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER BRONZE 9.11,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL COOL COVER MOCCHA 7.18,LOREAL,5,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HIGH LIFT ASH 50ML V511,LOREAL,1,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HIGH LIFT VIOLET 50ML V511,LOREAL,1,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 4.56,LOREAL,1.75,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 5.31,LOREAL,2.75,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 5.31,LOREAL,5,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 5.5,LOREAL,1,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 6.34,LOREAL,4,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 6.46,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 7.31,LOREAL,3,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 7.35,LOREAL,3,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 8.31,LOREAL,5,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIREL HT 8.34,LOREAL,6,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIROUGE 5.20,LOREAL,1,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIROUGE CARMIN 5.60,LOREAL,2.75,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIROUGE CARMIN 6.64,LOREAL,3,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIROUGE CARMIN 6.66,LOREAL,3,2,6.15,0.00,0.00,0.00
PC,Hair Salon,MAJIROUGE CARMIN 6.66 50ML,LOREAL,2,2,6.15,0.00,0.00,0.00
PC,Hair Salon,man wash bhb,Otros,1,1,0,0.00,0.00,0.00
PC,Hair Salon,mandil,Otros,2,1,0,0.00,0.00,0.00
PC,Hair Salon,MAQUINA CORTE DE PELO HOMBRE,Otros,2,1,0,0.00,0.00,0.00
PV,Hair Salon,MASCARILLA RENAISSANCE MASQUE OPTIMAGE 250ML,SILKY,4,1,17.68,26.09,23.48,22.31
PV,Hair Salon,MASK DENSIFIQUE 200ML 935,KERASTASE,2,1,42.70,69.11,62.19,59.09
PV,Hair Salon,MASQUINTENSE GLUCO ACTIVE FINS 200ML ,KERASTASE,1,1,42.70,69.11,62.19,59.09
PC,Nail Bar,MONOMER LIOQUIDO ACRILICO,Otros,1,1,0,0,0,0
PV,SPA,MOSTO 50ML,Bruno Vassary,1,1,39.00,53.59,48.23,45.82
PVC,SPA,MOSTO 50ML,Bruno Vassary,2,1,39.00,53.59,48.23,45.82
PV,Hair Salon,MOUSE DENSIFIQUE 150ML VD50 DENSIMORPHOSE,KERASTASE,4,1,34.10,55.19,49.67,47.19
PC,Hair Salon,MOUSSE 010 SOFT IVORY,Otros,1,1,0,0,0,0
PV,Hair Salon,MOUSSE FULL VOLUME 250 ML NEW,LOREAL,1,1,16.74,24.71,22.24,21.12
PC,Hair Salon,MULTI TECH PASTE 500GR V470,LOREAL,4,2,73.90,0.00,0.00,0.00
PC,Hair Salon,MULTI TECHNIQ POWDER 500GR POLVO DECOLORANTE,LOREAL,8,2,39.90,0.00,0.00,0.00
PV,Hair Salon,MYTHIC OIL 100ML,LOREAL,2,1,26.00,37.70,33.93,32.23
PV,Hair Salon,MYTHIC OIL MASCARA 200ML,LOREAL,1,1,21.50,31.73,28.56,27.13
PV,Hair Salon,MYTHIC OIL SHAMPOO 250ML,LOREAL,1,1,17.00,25.09,22.58,21.45
PC,Nail Bar,NAIL PREP PARA DESHIDRATAR LA UNNA NATURAL,Otros,1,1,0,0,0,0
PC,Nail Bar,NAIL SURFACE CLEANSE LIMPIADOR DE UNNAS gelish,Otros,1,1,0,0,0,0
PC,Nail Bar,NATURAL CUTICLE TREATMENT,Otros,3,1,0,0,0,0
PC,Hair Salon,NAVAJAS,Otros,2,1,0,0,0,0
PC,Nail Bar,neo body scrub crema exfoliante 500ml,Otros,10,4,5.214285714,0,0,0
PC,Nail Bar,NOURISH ACEITE DE CUTICULA gelish,Otros,1,1,0,0,0,0
PV,Hair Salon,NUT MASQUINTENSE CHX EPAIS 200ML 935,KERASTASE,2,1,42.70,69.11,62.19,59.09
PV,Hair Salon,NUT MASQUINTENSE CHX FINS 200ML 935,KERASTASE,2,1,42.70,69.11,62.19,59.09
PV,SPA,OIL FREE MOISTURIZING GEL 50ML,Bruno Vassary,1,1,27.68,38.04,34.23,32.52
PVC,SPA,OIL FREE MOISTURIZING GEL 50ML,Bruno Vassary,2,1,27.68,38.04,34.23,32.52
PV,SPA,OIL FREE SPRAY SPF 25,Bruno Vassary,1,1,21.00,28.86,25.97,24.67
PVC,SPA,OIL FREE SPRAY SPF 25,Bruno Vassary,2,1,21.00,28.86,25.97,24.67
PV,Hair Salon,OLEO RELAX  TRAT DISCIPLINA NUTRI HUILE 125ML,KERASTASE,2,1,25.90,41.92,37.72,35.84
PV,Hair Salon,OLEO RELAX MASQUE 200ML,KERASTASE,2,1,42.70,69.11,62.19,59.09
PC,Hair Salon,orquilleta,Otros,3,2,1.875,0,0,0
PVC,SPA,PACK WHITE BV 2015 (1 2 3),Bruno Vassary,2,1,62.50,85.88,77.29,73.43
PC,Hair Salon,paleta de blush,Otros,1,1,0,0,0,0
PC,Hair Salon,paleta de cejas,Otros,1,1,0,0,0,0
PC,Hair Salon,paleta de iluminadores,Otros,1,1,0,0,0,0
PC,Hair Salon,paleta de sombras,Otros,1,1,0,0,0,0
PC,Nail Bar,PALETA PARA CALLOS,Otros,3,1,0,0,0,0
PC,Nail Bar,PALOS DE NARANJA,Otros,1,1,0,0,0,0
PC,SPA,pantuflas,Otros,3,1,0,0,0,0
PC,Nail Bar,PAQUETES DE FUNDAS PARAFINA,Otros,18,1,0,0,0,0
PC,Nail Bar,PARAFINA,Otros,1,1,0,0,0,0
PC,Hair Salon,PATILLERA,Otros,2,1,0,0,0,0
PC,Hair Salon,PEINILLA DE DIENTES ANCHOS,Otros,2,1,0,0,0,0
PC,Hair Salon,PEINILLA PARA ALISAR CON PLANCHA,SILKY,1,1,0,0,0,0
PC,Hair Salon,PEINILLAS,Otros,9,1,0,0,0,0
PC,Hair Salon,peinillas de punta,Otros,2,1,0,0,0,0
PC,Hair Salon,PESTANNAS INDIVIDUAL,Otros,9,1,0,0,0,0
PC,Nail Bar,PG BOND DESHIDRATADOR gelish,Otros,1,1,0,0,0,0
PC,Nail Bar,PINCEL DE DISENNO,Otros,2,1,0,0,0,0
PC,Hair Salon,pinchos,Otros,18,1,0,0,0,0
PC,Hair Salon,PINCHOS ALUMINIO,Otros,3,1,0,0,0,0
PC,Hair Salon,PINCHOS PLASTICOS,Otros,3,1,0,0,0,0
PV,SPA,PIOGGIA DI VIGNA LOCION ANTIEDAD 200ML,Bruno Vassary,1,1,25.00,34.35,30.92,29.37
PVC,SPA,PIOGGIA DI VIGNA LOCION ANTIEDAD 200ML,Bruno Vassary,2,1,25.00,34.35,30.92,29.37
PC,Hair Salon,PLANCHA BABYLISS,Otros,2,2,0,0,0,0
PC,Hair Salon,PLANCHA PEQUENNA CERAMIC,Otros,1,1,0,0,0,0
PC,Nail Bar,POLVO ACRILICO TRANSPARENTE,Otros,1,1,0,0,0,0
PVC,SPA,POWER C PEPTIDE CREAM (ANTIOXIDANTE) 50ML,Bruno Vassary,2,1,55.00,75.58,68.02,64.62
PC,Nail Bar,PREP LIMPIADOR DE UNNAS red carpet,Otros,1,1,0,0,0,0
PVC,SPA,PROTECTIVE CREAM SPF 25 50ML (CREMA HIDRATANTE CON FILTRO SOLAR),Bruno Vassary,2,1,37.00,50.84,45.76,43.47
PC,Nail Bar,pulidor de uNNas,Otros,8,1,0,0,0,0
PV,Hair Salon,PURE RESOURCE PET SHAMPOO 250ML,LOREAL,2,1,17.00,25.09,22.58,21.45
PC,Nail Bar,PUTIFY LIMPIADOR PARA APLICACIoN PRE Y POST red carpet,Otros,1,1,0,0,0,0
PC,Nail Bar,RECIPIENTE PARA ACRILICO,Otros,2,1,0,0,0,0
PC,Hair Salon,RECORTADORA PERSONAL BABYLISS,Otros,1,1,0,0,0,0
PV,Hair Salon,REFL BAIN CHROMA CAPTIVE 250ML V267,KERASTASE,2,1,21.90,35.44,31.90,30.30
PV,Hair Salon,REFL FONDANT CHROMA CAPTIVE 200ML,KERASTASE,1,1,26.90,43.53,39.18,37.22
PV,Hair Salon,REFL MASQ CHROMA CAPTIVE 200ML V935,KERASTASE,2,1,42.70,69.11,62.19,59.09
PVC,SPA,REFRESING TONER 250ML,Bruno Vassary,2,1,19.00,26.11,23.50,22.32
PC,Nail Bar,REMOVEDOR DE CUTICULA CREMA,Otros,1,1,0,0,0,0
PC,Hair Salon,removedor de tinte saloon,Otros,1,1,4.107142857,0,0,0
PV,Hair Salon,RES CIMENT ANTIUSURE VITA ADV 200ML A21 architect,KERASTASE,3,1,26.90,43.53,39.18,37.22
PV,Hair Salon,RES MASQ FORCE ARCHITECT 200ML V078,KERASTASE,3,1,42.70,69.11,62.19,59.09
PV,Hair Salon,RESISTANCE MASQUE THERAPIST 200ML V935,KERASTASE,4,1,42.70,69.11,62.19,59.09
PC,Nail Bar,REVITALIZE ACEITE NUTRITIVO PARA LA CUTICULA Y LA UNNA red carpet,Otros,1,1,0,0,0,0
PC,Hair Salon,ROCEADOR DE AGUA,Otros,3,1,0,0,0,0
PVC,SPA,RUGIADA DI VIGNA ESPUMA LIMPIADORA 150ML,Bruno Vassary,2,1,25.00,34.35,30.92,29.37
PC,SPA,scrub coffe arabica,Otros,1,1,0,0,0,0
PC,SPA,scrub de coco,Otros,1,1,0,0,0,0
PV,Hair Salon,SE LIPIDIUM ACONDICIONADOR 150ML,LOREAL,2,1,19.17,28.29,25.47,24.19
PV,Hair Salon,SEBO THERAPY AMPOLLAS,SILKY,20,10,0.00,0.00,0.00,0.00
PC,Hair Salon,SECADORA BABYLISS,Otros,2,2,0.00,0.00,0.00,0.00
PV,Hair Salon,SENSI BALANCE 250ML,LOREAL,1,1,17.00,25.09,22.58,21.45
PC,Nail Bar,SEPARADOR DE DEDOS,Otros,6,1,0,0,0,0
PVC,SPA,SERUM ANTIAGE CON EXTRACTO DE CAVIAR 30ML,Bruno Vassary,2,1,49.00,67.33,60.60,57.57
PVC,SPA,SERUM OXIGENANTE CON PROTEINA DE SOJA 30ML,Bruno Vassary,2,1,49.00,67.33,60.60,57.57
PC,Hair Salon,serum paul michell,Otros,1,1,0,0,0,0
PV,Hair Salon,SERUM THERAPIST 30ML V434,KERASTASE,1,1,29.70,48.07,43.26,41.10
PV,SPA,SERUM VITE 50ML,Bruno Vassary,1,1,49.11,67.48,60.73,57.70
PVC,SPA,SERUM VITE 50ML,Bruno Vassary,2,1,49.11,67.48,60.73,57.70
PV,Hair Salon,SHAMPOO RISTTRUTURANTE OPTIMAGE 150ML,SILKY,1,1,17.68,26.09,23.48,22.31
PV,Hair Salon,SHAMPOO SILVER 250ML,LOREAL,0,1,17.53,25.87240179,23.29,22.12
PV,Hair Salon,SHAMPOO SILVER 250ML,LOREAL,4,2,17.53,25.87,23.28,22.12
PV,Hair Salon,SHINE BLOND SHAMPOO 250ML,LOREAL,2,1,17.00,25.09,22.58,21.45
PVC,SPA,SKIN CLEANSER LIMPIADOR FACIAL 250ML - gentle cleansing milk aqua,Bruno Vassary,1,1,23.00,31.60,28.44,27.02
PC,Hair Salon,SOMBRA LOREAL PARIS TONOS GRISES,LOREAL,2,1,0.00,0.00,0.00,0.00
PC,Hair Salon,SOMBRA LOREAL PARIS TONOS MARRONES,LOREAL,2,1,0.00,0.00,0.00,0.00
PC,Hair Salon,SOMBRA LOREAL PARIS TONOS MORADOS,LOREAL,3,1,0.00,0.00,0.00,0.00
PC,Hair Salon,SOMBRAS DE OJOS,Otros,1,1,0.00,0.00,0.00,0.00
PC,Nail Bar,SPRAY SECANTE DE UNNAS,Otros,3,1,0.00,0.00,0.00,0.00
PV,SPA,STOP REDNESS ANTI ROJECES 50ML,Bruno Vassary,1,1,31.56,43.37,39.03,37.08
PVC,SPA,STOP REDNESS ANTI ROJECES 50ML,Bruno Vassary,2,1,31.56,43.37,39.03,37.08
PVC,SPA,STRIALIA CREMA ANTIESTRIAS 200ML,Bruno Vassary,2,1,30.00,41.22,37.10,35.25
PC,Nail Bar,STRUCTURE CAPA BASE PARA UNNAS red carpet,Otros,2,1,0,0,0,0
PC,Nail Bar,TIJERA DE CUTICULA,Otros,3,1,0,0,0,0
PC,Nail Bar,TINA PARA SPA PIES,Otros,1,1,0,0,0,0
PV,Hair Salon,TNA RENO WEB PATE 150ML,LOREAL,1,1,16.20,23.91,21.52,20.44
PC,SPA,toallas pequeNNas ,Otros,6,1,0,0,0,0
PVC,SPA,TONING LOTION PARA PIELES NORMALES Y MIXTAS 250ML,Bruno Vassary,2,1,22.00,30.23,27.21,25.85
PC,Hair Salon,TOP CARE ANTIMANCHAS,Otros,2,1,0,0,0,0
PC,Nail Bar,TOP COAT CAPA SUPERIOR opi,Otros,1,1,0,0,0,0
PC,Nail Bar,TOP IT OFF GEL SELLADOR gelish,Otros,1,1,0,0,0,0
PC,Hair Salon,tratamiento gotas de aceite de argan,Otros,1,1,0,0,0,0
PC,Nail Bar,UNNAS EXTENSIONES,Otros,2,1,0,0,0,0
PC,Nail Bar,UNNAS FRANCES PERMANENTE,Otros,1,1,0,0,0,0
PC,Nail Bar,UNNAS POSTIZAS,Otros,1,1,0,0,0,0
PC,Nail Bar,UV FINISH GEL ULTRA SHINE,Otros,1,1,0,0,0,0
PC,SPA,VAPOR FACIAL PORTATIL dermalia,Otros,1,1,0,0,0,0
PC,Hair Salon,VASO MEDIDOR,Otros,2,1,0,0,0,0
PC,SPA,vela aromatherapy energy,Otros,1,1,0,0,0,0
PC,SPA,velos de vitamina c,Otros,1,1,0,0,0,0
PV,Hair Salon,VITA COLOR 10 EN 1 190ML VA16,LOREAL,2,1,21.50,31.73,28.56,27.13
PV,Hair Salon,VITA COLOR CAPTIVE TRATAMIENTO 150ML,LOREAL,1,1,18.60,27.45,24.71,23.47
PV,SPA,VITA VITE 50ML,Bruno Vassary,1,1,44.00,60.46,54.41,51.69
PVC,SPA,VITA VITE 50ML,Bruno Vassary,2,1,44.00,60.46,54.41,51.69
PV,Hair Salon,VITAMINO COLOR ACONDICIONADOR 150ML AOX,LOREAL,1,1,18.6,27.45160714,24.71,23.47
PV,Hair Salon,VITAMINO COLOR MQU 200ML A-OX,LOREAL,2,1,21.50,31.73,28.56,27.13
PV,Hair Salon,VITAMINO COLOR SH 250ML A-OX,LOREAL,0,1,17.53,25.87,23.29,22.12
PV,Hair Salon,VITAMINO COLOR SH 250ML A-OX,LOREAL,2,1,17.00,25.09,22.58,21.45
PV,Hair Salon,VITAMINO COLOR SH 250ML A-OX,LOREAL,1,1,17.53,25.88,23.29,22.12
PV,Hair Salon,VITAMINO COLOR SH 500ML A-OX,LOREAL,2,1,27.70,40.88,36.79,34.95
PC,Hair Salon,vol para tinte,Otros,2,1,0,0,0,0
PVC,SPA,WHITE DAY PROTECTION SPF 15 CREMA PROTECTORA DE DIA 50ML,Bruno Vassary,2,1,34.00,46.72,42.05,39.95
PV,SPA,WHITE LIGHT CORRECTOR ACTIVO ANTI MANCHAS CON VIT C,Bruno Vassary,1,1,34.00,46.72,42.05,39.95
PVC,SPA,WHITE LIGHT CORRECTOR ACTIVO ANTI MANCHAS CON VIT C,Bruno Vassary,2,1,34.00,46.72,42.05,39.95
PV,SPA,WHITE PURE C FLUIDO BLANQUEADOR NO GRASO CON VIT C 3X8ML,Bruno Vassary,1,1,39.00,53.59,48.23,45.82
PVC,SPA,WHITE PURE C FLUIDO BLANQUEADOR NO GRASO CON VIT C 3X8ML,Bruno Vassary,2,1,39.00,53.59,48.23,45.82
PC,Nail Bar,XTRABOND PRIMER ACRIGEL,Otros,1,1,0,0,0,0
PV,Hair Salon,YLANG FELL GOOD CREAM CONDITIONER,SILKY,1,1,17.66,26.06,23.46,22.28
PV,Hair Salon,YLANG FELL GOOD SERUM,SILKY,1,1,19.13,28.23,25.41,24.14